,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
216,2011-03-03,La Liga,Matchweek 26,Home,Real Madrid,Malaga,Y,Right Foot,67,7-0,Willy Caballero,Penalty,1,26,7,LW,Win
217,2011-03-03,La Liga,Matchweek 26,Home,Real Madrid,Malaga,Y,Left Foot,50,7-0,Willy Caballero,Mesut Ozil,1,26,7,LW,Win
218,2011-03-03,La Liga,Matchweek 26,Home,Real Madrid,Malaga,Y,Right Foot,76,7-0,Willy Caballero,Sergio Canales,1,26,7,LW,Win
219,2011-04-05,Champions League,Quarter-finals,Home,Real Madrid,Tottenham,Y,Right Foot,87,4-0,Gomes,Kaká,1,26,7,LW,Win
220,2011-04-09,La Liga,Matchweek 31,Away,Real Madrid,Athletic Club,N,Right Foot,70,3-0,Gorka Iraizoz,No assist,1,26,7,CF,Win
221,2011-04-13,Champions League,Quarter-finals,Away,Real Madrid,Tottenham,Y,Right Foot,50,1-0,Gomes,No assist,1,26,7,RW,Win
222,2011-04-16,La Liga,Matchweek 32,Home,Real Madrid,Barcelona,Y,Right Foot,81,1-1,Víctor Valdés,Penalty,1,26,7,LW,Draw
223,2011-04-20,Copa del Rey,Final,Neutral,Real Madrid,Barcelona,Y,Head,103,1-0,Jose Manuel Pinto,Angel Di María,1,26,7,CF,Win
224,2011-05-07,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,70,6-2,Javi Varas,Mesut Ozil,1,26,7,LW,Win
225,2011-05-07,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,31,6-2,Javi Varas,Pepe,1,26,7,LW,Win
